location,data
Bahrain,"1. Passengers and airline crew who have been in Austria, Belgium, China (People's Rep.), Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, Iraq, Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom and USA in the past 14 days are not allowed to transit and enter Bahrain. 

- This does not apply to nationals of Bahrain, Kuwait, Oman, Qatar, Saudi Arabia and United Arab Emirates.

- This does not apply to passengers who reside in Bahrain.

- This does not apply to military personnel.

- This does not apply to passengers with a special approval from Nationality, Passport Residence Affairs Directorate of Bahrain.

- This does not apply to passengers with a valid letter of Prior Permission Granted which is presented prior to boarding.

2. Passengers and airline crew who have been in Hong Kong (SAR China), Italy, Japan, Lebanon, Malaysia, Singapore or Thailand in the past 14 days must have a valid visa prior to arrival.

- This does not apply to nationals of Bahrain, Kuwait, Oman, Qatar, Saudi Arabia and United Arab Emirates.

- This does not apply to passengers who reside in Bahrain.

- This does not apply to passengers with a valid letter of Prior Permission Granted which is presented prior to boarding.

3. Nationals of Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, United Arab Emirates who have transited through or have been in Austria, Belgium, China (People's Rep.), Hong Kong (SAR China), Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, Iraq, Italy, Japan, Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Malaysia, Netherlands, Norway, Poland, Portugal, Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, Thailand, United Kingdom or USA will be subject to quarantine and enhanced testing procedures recommended by the World Health Organization (WHO). 

4. Passengers who reside in Bahrain and who have transited through or have been in China (People's Rep.), Egypt, Hong Kong (SAR China), Iran, Iraq, Italy, Japan, Korea (Rep.), Lebanon, Malaysia, Singapore or Thailand will be subject to quarantine and enhanced testing procedures recommended by the World Health Organization (WHO).
5. Border crossing on the causeway has been temporarily suspended due to Coronavirus (COVID-19)."
Benin,Passengers who have been in coronavirus (COVID-19) affected countries are subject to self-quarantine for 14 days.
Burkina Faso,Bobo Dioulasso (BOY) and Ouagadougou (OUA) are closed.
South Korea,"1. Short-term visas (type C-1 and C-3) issued on or before 5 April are invalidated.
2. Visa exemptions for 90 nationalities with normal passport are temporarily suspended.
- This does not apply to airline crew.
- This does not apply to passengers with an APEC Business Travel Card. 
3. Korean visas issued by the Wuhan Consulate in the Hubei Province are invalidated.
4. Visitors who have been in the Hubei Province (China People's Rep.) in the past 14 days are not allowed to transit or enter Korea (Rep.). 
5. Nationals of China (People's Rep.) with a passport issued in the Hubei Province are not allowed to transit or enter Korea (Rep.).
6. Passengers arriving from China (People's Rep) must have a visa issued by Korea (Rep.) to transit through Korea (Rep.). 
- This not apply to nationals of Albania, Andorra, Barbados, Dominica, Guyana, Ireland (Rep.), Korea (Rep.), Malta, Mexico, Monaco, Nicaragua, Palau, San Marino, Slovenia, St. Kitts and Nevis, St. Vincent and the Grenadines, USA, Vatican City (Holy See) and Venezuela. 
- This not apply to passengers with a British passport.
- This does not apply to passengers with a diplomatic, consular, official, service or special passport. 
7. All passengers are subject to mandatory self-quarantine for 14 days. 
- This does not apply to airline crew. 
8. Nationals and residents of Korea (Rep.) are required to install 'Self-quarantine safety protection mobile app'. 
9. Passengers and airline crew must install 'Self-diagnosis Mobile App' in their personal device and a completed Health Declaration Form and a Special Quarantine Declaration Form must be presented to the quarantine desk upon arrival.
10. All flights must arrive at Incheon International Airport (ICN) between 5:00 and 20:00."
Bulgaria,"1. Passengers not arriving from Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, Greece, Hungary, Latvia, Lithuania, Malta, Norway, Poland, Portugal, Romania, Slovakia, Slovenia or Sweden are not allowed to enter Bulgaria. 
- This does not apply to nationals of Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, Greece, Hungary, Latvia, Lithuania, Malta, Norway, Poland, Portugal, Romania, Slovakia, Slovenia and Sweden. 
- This does not apply to family members of nationals of Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, Greece, Hungary, Latvia, Lithuania, Malta, Norway, Poland, Portugal, Romania, Slovakia, Slovenia and Sweden.
- This does not apply to passengers and their families with a permanent or long term residence permit issued by Bulgaria. 
- This does not apply to nationals of Austria, Belgium, France, Germany, Iceland, Ireland (Rep.), Italy, Liechtenstein, Luxembourg, Netherlands, Spain and Switzerland and their family members when they transit through Bulgaria to return to their country of residence. 
- This does not apply to passengers with a British passport and their family members when they transit through Bulgaria to return to their country of residence. 
- This does not apply to nationals and residents of Turkey when they transit through Bulgaria to return to their country of residence. 
- This does not apply to nationals and residents of North Macedonia (Rep.) when they transit through Bulgaria to return to their country of residence.
- This does not apply to nationals and residents of Serbia when they transit through Bulgaria to return to their country of residence. 
- This does not apply to nationals and residents of Montenegro when they transit through Bulgaria to return to their country of residence.
- This does not apply to the following passengers:
a. health care professionals, health researchers and elderly care professionals;
b. transport personnel engaged in the carriage of goods, crews of aircraft engaged in commercial air transport and other transport personnel as necessary;
c. diplomats, officials of international organizations, military personnel and humanitarian workers in the performance of their duties;
d. persons traveling for humanitarian reasons; third-country nationals who hold a long-term residence permit in an EU Member State and pass through Bulgaria in order to return to their country of residence and residence.
2. Nationals of Bulgaria arriving from risky countries are requested to observe a 14-day quarantine period.
3. All arriving passenger from Italy at Sofia airport (SOF) must fill out a questionnaire in the presence of a health inspector."
Bermuda,"1. Flights to Bermuda are suspended until 1 May 2020.
2. Passengers will be required to self-quarantine for 14 days.
- This does not apply to airline crew. "
"Congo, the Democratic Republic of the",All airports in Congo are closed.
Congo,All airports in Congo are closed.
Bahamas,Bahamas borders are closed.
Belize,"1. Passengers arriving from Europe, China (People's Rep.), Hong Kong (SAR China), Iran, Japan, Korea (Rep.) are not allowed to enter Belize.

   -This does not apply to nationals and residents of Belize.

2. Nationals of China (People's Rep.), Hong Kong (SAR China), Iran, Japan, Korea (Rep.) and nationals of European countries are not allowed to enter Belize.

3. Nationals of Belize arriving from China (People's Rep.), Hong Kong, Iran, Japan, Korea (Rep.) or Europe are required to self-isolate for a period of 14 days.

   -This does not apply to airline crew.

4. Residents of Belize arriving from China (People's Rep.), Hong Kong (SAR China), Iran, Japan, Korea (Rep.) or Europe are required to self-isolate for a period of 14 days."
Cote d'Ivoire,Cote d'Ivoire borders are closed.
Cook Islands,Passengers who have transited or been in any country except for Cook Isl. and New Zealand in the past 14 days are not allowed to enter Cook Isl.
Chile,"1. Passengers are not allowed to enter Chile until 24 April 2020.
This does not apply to:
- Nationals of Chile;
- Residents of Chile;
- Passengers bringing humanitarian help;
- Passengers with a diplomatic visa and an official ID issued by the Ministry of Foreign Affairs of Chile;
- Passengers with a safe-conduct.
2. Nationals and residents of Chile will be quarantined for 14 days."
Cameroon,All international flights to Cameroon are suspended.
Northern Mariana Islands,"1. Passengers arriving in Saipan from a country with an identified COVID-19 outbreak, inclusive of Guam, Hawaii, and the continental USA, will be required to quarantine for 14 consecutive days at a hotel property. This applies to both residents and non-residents. 

2. Passengers who need to leave the island prior to the 14-day period will be allowed to depart back to Guam.  

3. Passengers will complete a health form prior to landing in Saipan. Public Health will meet the passengers in the terminal prior to arrival at the customs hall. Passengers will then proceed to the bus where they will be taken to a hotel property for quarantine.

4. Airline crew, with return flights within less than 14 days of arrival will be allowed to depart Northern Mariana Isl. 

5. Passengers entering into the Northern Mariana Isl. by air transport, whose ultimate destination is the island of Tinian or the island of Rota, shall exercise the 14-day quarantine on the island of Saipan before traveling to Tinian or Rota. "
Malta,"Flights to Malta are suspended until 24 April 2020.
- This does not apply to ferry flights, humanitarian flights and repatriation flights."
Australia,"1. Passengers are not allowed to transit or enter Australia. 
- This does not apply to nationals of Australia. 
- This does not apply to the immediate family members of nationals of Australia. 
- This does not apply to permanent residents of Australia and their immediate family members. 
- This does not apply to nationals of New Zealand residing in Australia. 
- This does not apply to airline crew.
- This does not apply to diplomats accredited to Australia and currently resident in Australia, and their immediate family members.
- This does not apply to nationals of Fiji, Kiribati, Marshall Isl., Micronesia (Federated States), Nauru, New Zealand, Niue, Palau, Papua New Guinea, Samoa (American), Solomon Isl., Tonga, Tuvalu and Vanuatu when they are transiting through Australia to their home country.
- This does not apply to passengers who reside in Cook Isl., French Polynesia or New Caledonia when they are transiting through Australia to their home country. 
2. All passengers are required to self-isolate for a period of 14 days at their first arrival location in Australia. If their duration of stay is less than 14 days, they must self-isolate for the entire duration of stay.
- This does not apply to airline crew with the appropriate personal protective equipment. 
3. Nationals of Australia are not allowed to travel out of Australia.
This does not apply to the following:
- Persons ordinarily resident in a country other than Australia; 
- Airline and maritime crew and associated safety workers;
- Persons engaged in the day to day conduct of outbound and inbound freight;
- Persons whose travel is associated with essential work at offshore facilities; and
- Persons travelling on official government business, including members of the Australian Defence Force."
Cyprus,"1. Passengers are not allowed to enter Cyprus.
- This does not apply to nationals of Cyprus and passengers who reside in Cyprus.
- This does not apply to passengers who are in a diplomatic mission.
- This does not apply to passengers with a special authorization issued by the competent ministry of Cyprus.
- This does not apply to passengers attending educational institutions in Cyprus.
2. Nationals and residents of Cyprus must have a certificate of health stating they are free from COVID-19 issued within a maximum of 4 days before departure. They will be quarantined for 14 days. 
3. Passengers who are in a diplomatic mission must have a certificate of health stating they are free from COVID-19 issued within a maximum of 4 days before departure. They will be quarantined for 14 days.
4. Passengers who have a special authorization issued by the competent ministry of Cyprus or are attending educational institutions in Cyprus, must have a certificate of health stating they are free from COVID-19 issued within a maximum of 4 days before departure. They will be quarantined for 14 days."
Djibouti,Flights to Djibouti are suspended.
Colombia,"1.      Passengers are not allowed to enter Colombia.

2.      This does not apply to nationals of Colombia and passengers who reside in Colombia. They will be required to self-isolate for 14 days.

3.      This does not apply to passengers who are in a diplomatic mission. They will be required to self-isolate for 14 days."
Germany,"1.Passengers are not allowed to enter Germany.
-This does not apply to:
- nationals of Germany;
- passengers with permanent residence in Germany obtained before Coronavirus (COVID-19) or with a D-Visa issued by Germany;
- passengers with evidence that their travel is to perform a professional activity, e.g., commuters, diplomats, nursing staff, food industry personnel, specialists;
- passengers in transit to their home country, if there is no other travel option. The purpose of travel and the entry requirements for the destination and transit countries must be proved.
2. Passengers allowed to enter Germany must self-isolate and must proceed directly to their own home, or other suitable accommodation for a period of 14 days."
Dominica,"1.Passengers are not allowed to enter Dominica.
-This does not apply to nationals of Dominica who will be placed in a 14-day mandatory quarantine. 
2.Airline crew is not allowed to disembark."
Costa Rica,"1. Passengers are not allowed to enter Costa Rica.
- This does not apply to nationals of Costa Rica.
- This does not apply to passengers who reside in Costa Rica.
2. Nationals and residents of Costa Rica will be required to be in isolation for a period of 14 days."
Dominican Republic,Flights to Dominican Rep. are suspended until 12 April 2020.
Cuba,"Flights to Cuba are suspended.
- This does not apply to humanitarian flights."
Curaçao,"Passengers are not allowed to enter Curacao until 26 April 2020.
This does not apply to: 
- Airline crew.
- Medical specialist and other medical personnel if authorized by the Government of Curacao. These passengers must have a verification letter from the government of Curacao proving they are allowed to enter Curacao.
- Persons deemed necessary or specifically approved by the Government of Curacao. These passengers must have a verification letter from the government of Curacao proving they are allowed to enter Curacao."
Grenada,Maurice Bishop International Airport (GND) and Lauriston Airport (CRU) are closed for all passenger traffic.
Antigua and Barbuda,"1. Passengers and airline crew who have been in Austria, Belgium, Bulgaria, Canada, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, USA or United Kingdom in the past 28 days are not allowed to enter Antigua and Barbuda.
- This does not apply to nationals of Antigua and Barbuda and resident diplomats. 
2. Airlines must provide advance passenger information of scheduled arrival of nationals of Antigua and Barbuda and resident diplomats."
Kenya,"1. All international flights to Kenya are suspended until 5 May 2020.
- This does not apply to:
a. Aircraft in state of emergency.
b. Technical stops where passengers do not disembark.
c. Operations related to humanitarian aid, medevac, repatriation and diplomatic flights approved by appropriate authorities.
2. All crew (except those from domestic flights) will have to self-isolate within designated airport hotels at the Nairobi Jomo Kenyatta International Airport for the duration of their rest period.
3. All approved flights must provide a completed passengers declaration forms and manifests to Port Health, Immigration and customs."
Botswana,"1. Passengers arriving from Austria, Belgium, China (People's Rep.), Denmark, France, Germany, India, Iran, Italy, Japan, Korea (Rep.), Netherlands, Norway, Spain, Sweden, Switzerland, USA or United Kingdom are not allowed to enter Botswana.
- This does not apply to nationals of Botswana.
- This does not apply to passengers who reside in Botswana.
2. Nationals and residents of Botswana will be quarantined for 14 days.
3. Passengers can no longer obtain a visa on arrival in Botswana.. 
4. Visas issued to nationals of Austria, Belgium, China (People's Rep.), Denmark, France, Germany, India, Iran, Italy, Japan, Korea (Rep.), Netherlands, Norway, Spain, Sweden, Switzerland or USA are invalidated.
5. Visas issued to passengers with a British passport with nationality ""British Citizen"" are invalidated."
Eritrea,Asmara International Airport (ASM) is closed.
Ethiopia,"Effective 23 March 2020, all passengers arriving in Ethiopia will be placed in a mandatory quarantine at the Ethiopian Skylight Hotel for 14 days at their own expense."
Fiji,"1. Passengers and airline crew are not allowed to enter Fiji. 
- This does not apply to nationals of Fiji.
2. Nationals of Fiji must go into quarantine for a period of 14 days."
France,"1. Passengers arriving from a non-Schengen Member State are not allowed to enter France. 
- This does not apply to nationals of France.
- This does not apply to nationals of an EEA Member States or Switzerland on their way home. 
- This does not apply to passengers with residence permit issued by France.
- This does not apply to passengers with a residence permit issued by an EEA Member States, Switzerland or the United Kingdom on their way home. 
- This does not apply to healthcare professionals, health researchers related to Coronavirus (Covid-19).
2. Passengers must have an International Circulation Attestation to transit or enter France."
Kyrgyzstan,Flights to Kyrgyzstan are suspended.
Mongolia,"1. Passengers are not allowed to enter Mongolia until 30 April 2020.
- This does not apply to nationals of Mongolia. 
- This does not apply to residents of Mongolia who are direct family members of a national of Mongolia.
- This does not apply to accredited staff and their direct family members of diplomatic missions and offices of international organizations in Mongolia. 
- This does not apply to international freight transport drivers and railway train personnel of Mongolia, Russian Fed. and China (People's Rep.). 
2. Nationals of Mongolia will be placed in quarantine for 14 days. 
3. Residents of Mongolia who are direct family members of a national of Mongolia will be placed in quarantine for 14 days.
4. Accredited staff and their direct family members of diplomatic missions and offices of international organizations in Mongolia will be quarantined for 21 days at designated facilities upon arrival. After the quarantine period ends, they shall be under self-isolation at home for 14 days."
Gabon,"Passengers who have been in Austria, Belgium, Bulgaria, China (People’s Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the last 14 days are not allowed to enter Gabon.

- This does not apply to nationals and residents of Gabon."
Finland,"1. Passengers are not allowed to enter Finland.
- This does not apply to nationals of Finland. 
- This does not apply to family members of nationals of Finland. 
- This does not apply to passengers with a residence permit issued by Finland. 
- This does not apply to nationals of Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden or Switzerland residing in Finland, and their family members. 
This does not apply to passengers with a British passport residing in Finland, and their family members. 
- This does not apply to nationals of Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden or Switzerland and their family members who are returning via Finland to their respective country of residence. 
- This does not apply to passengers with a British passport and their family members who are returning via Finland to their respective country of residence. 
This does not apply to residents of Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Switzerland or United Kingdom who are returning via Finland to their respective country of residence. 
- This does not apply to the following passengers:
a. Healthcare and rescue service professionals/personnel, health researchers, and elderly care professionals;
b. Transport personnel and other transport staff to the extent necessary;
c. Workers, who based on permanent employee relationship work daily in another country and returns back to the country of residence at least once a week, taking into consideration local circumstances and natural travel-to-work area;
d. Diplomats, staff of international organisations, military personnel and humanitarian aid workers in the exercise of their functions;
e. Necessary (return) transit and returns;
f. Passengers travelling for imperative family reasons;
g. Persons in need of international protection or for other humanitarian reasons;
h. Other necessary and justified traffic. For example, other necessary traffic would be maintenance work, that requires maintenance team or a person arriving from another country and this work cannot be postponed. 
2. Nationals and residents of Finland will be required to self-quarantine for 14 days."
Falkland Islands,"1. Passengers are subject to isolation for a period of 14 days if they develop symptoms of Coronavirus (COVID-19). They must contact the local hospital on 28000 for advice.
2. Passengers who arrive from or have been in Wuhan City or Hubei Province of China (People's Rep.), Iran, Italy, Daegu or Cheongdo of Korea (Rep.), in the past 14 days, and are not a Falkland Islands resident, should not travel to the Falkland Islands. All such arrivals, including local residents, will be interviewed and medically examined on arrival. They will be required to self-isolate for 14 days."
Ghana,"1. Flights to Ghana are suspended until 19 April 2020.
- This does not apply to emergency flights, humanitarian flights, technical landing for refuel and medical evacuation flights.
2. Airline crew will undergo strict mandatory quarantine during their rotation/rest period."
Guyana,"Airports in Guyana are closed to all international passenger flights until 1 May 2020.
- This does not apply to nationals and residents of Guyana.
- This does not apply to:
a. Urgent health condition motive;
b. Professional trips which cannot be deferred as authorized;
c. Medivac flights;
d. Technical stops for fuel only and special authorized flights."
Mauritania,"1. Passengers are not allowed to transit or enter Mauritius.
- This does not apply to nationals of Mauritius, their spouses and children. They will be placed in quarantine.
- This does not apply to residents of Mauritius, their spouses and children. They will be placed in quarantine.
2. Airline crew will be isolated in their hotel rooms."
Brazil,"Passengers are not allowed to enter Brazil until 30 April 2020. This does not apply to:
- Nationals of Brazil;
- Passengers who reside in Brazil;
- Foreign professionals in a mission in the service of an international body, if it is duly identified;
- Foreign employee accredited to the Brazilian Government;
- Immediate family member of a national of Brazil;
- Passengers with an authorization issued by Brazilian Government;
- Passengers with a National Migration Registry;
- Technical landing to refuel where passengers of restricted nationalities are not disembarking;
- Passenger in international transit if they do not leave the international area of the airport and the country of destination admits their entry."
Guatemala,"1. Passengers are not allowed to enter Guatemala.
- This does not apply to nationals and residents of Guatemala. 
- This does not apply to accredited diplomats. 
2. Nationals and residents of Guatemala must be in quarantine. 
3. Accredited diplomats must be in quarantine. 
4. Flights to Guatemala are suspended until 30 April 2020."
Honduras,"1. Passengers are not allowed to enter Honduras. 
- This does not apply to nationals and residents of Honduras. 
- This does not apply to members of the diplomatic corps. 
2. Nationals and residents of Honduras can only land at San Pedro Sula (SAP) or Tegucigalpa (TGU). 
3. Passengers who are members of the diplomatic corps can only land at San Pedro Sula (SAP) or Tegucigalpa (TGU). 
4. Nationals and residents of Honduras are required to self-isolate for 14 days. 
5. Passengers who are members of the diplomatic corps are required to self-isolate for 14 days."
Egypt,"Flights to Egypt are suspended.
- This does not apply to humanitarian, repatriation and United Nations flights with a pre-authorization from the Egyptian Civil Aviation Authority."
"Micronesia, Federated States of","1. Passengers traveling to the state of Chuuk must be self-quarantined for 14 days in COVID-19 free country before departure.
2. Passengers and airline crew must go thorough medical screening upon arrival. 
3. Passengers are not allowed to enter the state of Pohnpei.
- This does not apply to residents of Pohnpei.
- This does not apply to medical and technical personnel.
4. Passengers traveling to the state of Pohnpei must have a medical certificate and must be quarantined for 14 days.
5. Passengers traveling to the state of Chuuk will be quarantined for 14 days."
Guam,"Passengers will be quarantined for a period of 14 days upon arrival. 
- This does not apply to passengers with a healthcare recognized and certified document which confirms that they are not infected with COVID-19 within
the last 72 hours."
Haiti,"All flights to Port Au Prince International airport and Tocap Haitian International airport are suspended. 
- This does not apply to domestic, emergency, humanitarian, medevac and government flights."
Hungary,"Hungary's borders are closed.
- This does not apply to nationals of Hungary and EEA nationals with a residence permit issued by Hungary."
India,"Flights to India are suspended until 3 May 2020.
- This does not apply to flights that carry goods for trade or essential goods and supplies, and their crew members, helpers, cleaners etc."
Iraq,All airports in Iraq are closed until 18 April 2020.
"Iran, Islamic Republic of","1. Nationals of China (People's Rep.) with a normal passport, passengers with a Hong Kong (SAR China) passport and passengers with a Macao (SAR China) passport are no longer visa exempt. However, they can obtain a visa on arrival.

They are required to clear the medical and health check upon arrival. After that they will be given a certificate.

2. Based on the travel advisory restriction issued by United Arab Emirates Government, nationals of United Arab Emirates are not allowed to travel to Iran."
Jamaica,"1. Passengers are not allowed to enter Jamaica.
- This does not apply to passengers with an authorization issued by the government of Jamaica.
2. Passengers with an authorization issued by the government of Jamaica will be quarantined for 14 days."
Jordan,"Flights to Jordan are suspended until 27 April 2020.
- This does not apply to:
a. Emergency, humanitarian, medevac, repatriation, United Nations and state/diplomatic flights.
b. Technical stops where crew and passengers do not disembark."
