location,country_code,latitude,longitude,confirmed,dead,recovered,updated
Niedersachsen,de,52.6367036,9.8450766,13312,619,None,2020-06-24 03:32:43.349739+00:00
Saarland,de,49.3964234,7.0229607,2778,168,None,2020-06-24 03:32:43.380086+00:00
Alagoas,br,-9.5713058,-36.7819505,20031,701,13094,2020-06-12 00:00:00+00:00
Saarland*,de,49.3964234,7.0229607,2778,168,None,2020-06-23 06:33:02.143062+00:00
Sachsen-Anhalt,de,51.9502649,11.6922734,1851,57,None,2020-06-24 03:32:43.399375+00:00
Bayern,de,48.7904472,11.4978895,47894,2571,None,2020-06-24 03:32:43.285592+00:00
Mato Grosso,br,-12.6818712,-56.921099,5390,181,1792,2020-06-12 00:00:00+00:00
Haryana,in,29.0587757,76.085601,11025,169,5916,2020-06-24 03:33:13.005824+00:00
Nagaland,in,26.1584354,94.5624426,280,0,141,2020-06-24 03:33:13.005824+00:00
Berlin,de,52.52000659999999,13.404954,7916,211,None,2020-06-24 03:32:43.294592+00:00
Mecklenburg-Vorpommern,de,53.6126505,12.4295953,792,20,None,2020-06-24 03:32:43.339980+00:00
Pará,br,-1.9981271,-54.9306152,66328,4132,53724,2020-06-12 00:00:00+00:00
Schleswig-Holstein,de,54.21936720000001,9.696116700000001,3136,152,None,2020-06-24 03:32:43.408469+00:00
Kansas,us,39.011902,-98.4842465,12576,259,None,2020-06-22 03:31:40.639934+00:00
Missouri,us,37.9642529,-91.8318334,18733,980,None,2020-06-22 03:31:40.639934+00:00
Thüringen,de,51.0109892,10.845346,3229,178,None,2020-06-24 03:32:43.418654+00:00
Bremen,de,53.07929619999999,8.8016936,1654,49,None,2020-06-24 03:32:43.312755+00:00
New Hampshire,us,43.1938516,-71.5723953,5558,339,None,2020-06-24 03:30:27.070589+00:00
Virgin Islands,us,18.335765,-64.896335,76,6,None,2020-06-22 03:31:40.639934+00:00
Gujarat,in,22.258652,71.1923805,27825,1684,19909,2020-06-24 03:33:13.005824+00:00
Sachsen,de,51.1045407,13.2017384,5408,221,None,2020-06-21 15:34:53.332938+00:00
Himachal Pradesh,in,31.1048294,77.17339009999999,727,8,437,2020-06-24 03:33:13.005824+00:00
Indiana,us,40.2671941,-86.1349019,43709,2553,None,2020-06-22 03:31:40.639934+00:00
Sachsen*,de,51.1045407,13.2017384,5408,221,None,2020-06-24 03:32:43.390000+00:00
Rheinland-Pfalz,de,50.118346,7.3089527,6919,234,None,2020-06-24 03:32:43.368553+00:00
Rajasthan,in,27.0238036,74.21793260000001,15232,356,11910,2020-06-24 03:33:13.005824+00:00
Uttar Pradesh,in,26.8467088,80.9461592,18322,569,11601,2020-06-24 03:33:13.005824+00:00
Minas Gerais,br,-18.512178,-44.5550308,20106,446,9822,2020-06-12 00:00:00+00:00
Virginia,us,37.4315734,-78.6568942,58465,1620,None,2020-06-24 03:30:27.070589+00:00
Pernambuco,br,-8.8137173,-36.954107,43872,3694,25794,2020-06-12 00:00:00+00:00
Arunachal Pradesh,in,28.2179994,94.7277528,139,0,21,2020-06-24 03:33:13.005824+00:00
Rio Grande do Sul,br,-30.0346316,-51.2176986,14384,337,11592,2020-06-12 00:00:00+00:00
Telengana,in,18.1124372,79.01929969999999,2256,67,1345,2020-05-30 03:35:09.086737+00:00
Tamil Nadu,in,11.1271225,78.6568942,62087,794,34112,2020-06-24 03:33:13.005824+00:00
Tripura,in,23.9408482,91.9881527,1237,1,782,2020-06-24 03:33:13.005824+00:00
Delaware,us,38.9108325,-75.52766989999999,10820,435,None,2020-06-24 03:30:27.070589+00:00
Uttarakhand,in,30.066753,79.01929969999999,2402,28,1521,2020-06-24 03:33:13.005824+00:00
Distrito Federal,br,-15.7997654,-47.8644715,21396,282,11825,2020-06-12 00:00:00+00:00
Goiás,br,-15.8270369,-49.8362237,7926,206,None,2020-06-12 00:00:00+00:00
Sergipe,br,-10.5740934,-37.3856581,11534,305,4732,2020-06-12 00:00:00+00:00
Santa Catarina,br,-27.2423392,-50.2188556,13165,191,8919,2020-06-12 00:00:00+00:00
District of Columbia,us,38.9071923,-77.0368707,10058,535,None,2020-06-24 03:30:27.070589+00:00
Washington,us,47.7510741,-120.7401385,30443,1277,None,2020-06-22 03:31:40.639934+00:00
Occitanie,fr,43.8927232,3.2827625,3459,508,2854,2020-06-24 03:32:18.957533+00:00
Centre-Val de Loire,fr,47.7515686,1.6750631,2908,543,1927,2020-06-24 03:32:18.959254+00:00
Madhya Pradesh,in,22.9734229,78.6568942,12078,521,9215,2020-06-24 03:33:13.005824+00:00
Maharashtra,in,19.7514798,75.7138884,135796,6283,67706,2020-06-24 03:33:13.005824+00:00
Meghalaya,in,25.4670308,91.366216,44,1,37,2020-06-24 03:33:13.005824+00:00
Mizoram,in,23.164543,92.9375739,141,0,9,2020-06-24 03:33:13.005824+00:00
Manipur,in,24.6637173,93.90626879999999,898,0,250,2020-06-24 03:33:13.005824+00:00
Odisha,in,20.9516658,85.0985236,5303,15,3863,2020-06-24 03:33:13.005824+00:00
Maranhão,br,-4.9609498,-45.2744159,57605,1399,31569,2020-06-12 00:00:00+00:00
Puducherry,in,11.9415915,79.8083133,383,8,149,2020-06-24 03:33:13.005824+00:00
Hawaii,us,19.8967662,-155.5827818,816,17,None,2020-06-24 03:30:27.070589+00:00
Punjab,in,31.1471305,75.34121789999999,4235,101,2825,2020-06-24 03:33:13.005824+00:00
Idaho,us,44.0682019,-114.7420408,4267,108,None,2020-06-22 03:31:40.639934+00:00
Nouvelle-Aquitaine,fr,45.7087182,0.626891,2669,412,2124,2020-06-24 03:32:18.957981+00:00
Paraíba,br,-7.239960900000001,-36.7819505,26556,610,5620,2020-06-12 00:00:00+00:00
Roraima,br,2.7375971,-62.0750998,6842,197,1754,2020-06-12 00:00:00+00:00
São Paulo,br,-23.5505199,-46.63330939999999,167900,10368,49295,2020-06-12 00:00:00+00:00
Rio de Janeiro,br,-22.9068467,-43.1728965,77784,7417,61690,2020-06-12 00:00:00+00:00
Paraná,br,-25.2520888,-52.0215415,8818,302,3044,2020-06-12 00:00:00+00:00
Piauí,br,-7.718340100000001,-42.72892359999999,9825,335,641,2020-06-12 00:00:00+00:00
Auvergne-Rhône-Alpes,fr,45.4471431,4.385250699999999,9930,1727,7622,2020-06-24 03:32:18.963190+00:00
Bourgogne-Franche-Comté,fr,47.2805127,4.9994372,5012,1035,3810,2020-06-24 03:32:18.966741+00:00
Provence-Alpes-Côte d'Azur,fr,43.9351691,6.0679194,6835,940,5259,2020-06-24 03:32:18.972488+00:00
Hauts-de-France,fr,50.48011529999999,2.7937265,9101,1818,6183,2020-06-24 03:32:18.973543+00:00
Dadra and Nagar Haveli and Daman and Diu,in,20.399701,72.87599709999999,91,0,27,2020-06-24 03:33:13.005824+00:00
Telangana,in,18.1124372,79.01929969999999,8674,217,4005,2020-06-24 03:33:13.005824+00:00
Alabama,us,32.3182314,-86.902298,30454,841,None,2020-06-24 03:30:27.070589+00:00
Arizona,us,34.0489281,-111.0937311,54767,1354,None,2020-06-22 03:31:40.639934+00:00
Louisiana,us,30.9842977,-91.96233269999999,50352,3117,None,2020-06-22 03:31:40.639934+00:00
Michigan,us,44.3148443,-85.60236429999999,68144,6101,None,2020-06-22 03:31:40.639934+00:00
Texas,us,31.9685988,-99.9018131,119646,2213,None,2020-06-22 03:31:40.639934+00:00
Nordrhein-Westfalen*,de,51.43323669999999,7.661593799999999,39777,1658,None,2020-06-19 06:34:13.021124+00:00
Florida,us,27.6648274,-81.5157535,100217,3173,None,2020-06-24 03:30:27.070589+00:00
Georgia,us,32.1656221,-82.9000751,66284,2610,None,2020-06-24 03:30:27.070589+00:00
South Carolina,us,33.836081,-81.1637245,25701,659,None,2020-06-22 03:31:40.639934+00:00
Utah,us,39.3209801,-111.0937311,18035,158,None,2020-06-22 03:31:40.639934+00:00
Ontario,ca,51.253775,-85.323214,33853,2619,None,2020-06-23 00:00:00+00:00
Prince Edward Island,ca,46.510712,-63.41681359999999,27,0,None,2020-06-23 00:00:00+00:00
Yukon,ca,64.2823274,-135.0,11,0,None,2020-06-23 00:00:00+00:00
Hessen,de,50.6520515,9.162437599999999,10613,501,None,2020-06-24 03:32:43.331320+00:00
Jammu and Kashmir,in,33.778175,76.57617139999999,6088,85,3531,2020-06-24 03:33:13.005824+00:00
Jharkhand,in,23.6101808,85.2799354,2137,11,1469,2020-06-24 03:33:13.005824+00:00
Karnataka,in,15.3172775,75.7138884,9399,142,5730,2020-06-24 03:33:13.005824+00:00
Kerala,in,10.8505159,76.2710833,3310,21,1749,2020-06-24 03:33:13.005824+00:00
Ladakh,in,34.1599959,77.581808,847,1,136,2020-06-24 03:33:13.005824+00:00
